"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"14.11.2019","20,880","20,920","20,920","20,840","107,35K","-0,48%"
"13.11.2019","20,980","20,920","21,040","20,900","37,53K","0,29%"
"12.11.2019","20,920","21,000","21,080","20,860","48,16K","-0,38%"
"11.11.2019","21,000","20,920","21,200","20,920","49,35K","0,38%"
"08.11.2019","20,920","21,120","21,140","20,860","99,11K","-1,13%"
"07.11.2019","21,160","21,380","21,400","21,000","119,35K","-1,03%"
"06.11.2019","21,380","21,120","22,000","21,080","162,82K","-4,98%"
"05.11.2019","22,500","23,000","23,560","20,800","334,39K","-2,17%"
"04.11.2019","23,000","25,000","26,860","23,000","468,81K","-8,00%"
"01.11.2019","25,000","24,980","28,200","24,360","832,30K","2,12%"
"31.10.2019","24,480","23,440","27,880","22,400","1,53M","5,34%"
"30.10.2019","23,240","25,000","26,120","23,240","353,18K","-9,57%"
"28.10.2019","25,700","22,420","25,840","22,420","278,49K","19,31%"
"25.10.2019","21,540","21,220","21,600","21,180","55,62K","1,60%"
"24.10.2019","21,200","21,220","21,940","21,140","140,95K","0,00%"
"23.10.2019","21,200","21,180","21,200","21,180","26,58K","0,28%"
"22.10.2019","21,140","21,160","21,200","21,120","26,35K","0,00%"
"21.10.2019","21,140","21,180","21,200","21,120","11,24K","-0,19%"
"18.10.2019","21,180","21,200","21,200","21,140","18,20K","0,19%"
"17.10.2019","21,140","21,140","21,180","21,140","2,90K","-0,09%"
"16.10.2019","21,160","21,180","21,180","21,140","6,96K","-0,09%"
"15.10.2019","21,180","21,140","21,280","21,120","25,14K","0,19%"
"14.10.2019","21,140","21,140","21,500","21,120","81,39K","0,00%"
"11.10.2019","21,140","20,980","21,140","20,980","207,05K","0,67%"
"10.10.2019","21,000","20,820","21,080","20,820","525,10K","0,19%"
"09.10.2019","20,960","21,100","21,100","20,960","264,95K","-0,66%"
"08.10.2019","21,100","21,140","21,140","21,060","161,19K","0,09%"
"07.10.2019","21,080","21,040","21,100","21,020","179,05K","0,29%"
"04.10.2019","21,020","21,000","21,080","20,980","410,11K","0,48%"
"03.10.2019","20,920","20,960","20,980","20,900","288,48K","-0,10%"
"02.10.2019","20,940","20,920","20,960","20,920","63,15K","0,19%"
"01.10.2019","20,900","20,920","20,940","20,900","45,39K","-0,10%"
"30.09.2019","20,920","20,900","20,940","20,880","181,12K","0,19%"
"27.09.2019","20,880","20,940","21,000","20,860","255,47K","-0,29%"
"26.09.2019","20,940","20,920","21,000","20,880","250,13K","0,19%"
"25.09.2019","20,900","20,900","20,960","20,880","58,27K","0,00%"
"24.09.2019","20,900","20,900","20,920","20,880","97,38K","0,00%"
"23.09.2019","20,900","20,920","20,980","20,880","106,12K","0,00%"
"20.09.2019","20,900","20,820","21,020","20,820","97,75K","0,48%"
"19.09.2019","20,800","20,800","20,840","20,780","32,76K","0,19%"
"18.09.2019","20,760","20,820","20,820","20,740","49,30K","0,00%"
"17.09.2019","20,760","20,800","20,860","20,740","43,45K","0,00%"
"16.09.2019","20,760","20,820","20,820","20,720","97,24K","-0,19%"
"13.09.2019","20,800","20,800","20,800","20,720","23,44K","0,48%"
"12.09.2019","20,700","20,680","20,900","20,620","103,49K","0,49%"
"11.09.2019","20,600","20,580","20,620","20,580","26,06K","0,10%"
"10.09.2019","20,580","20,680","20,680","20,540","45,67K","0,00%"
"09.09.2019","20,580","20,660","20,660","20,520","143,72K","-0,39%"
"06.09.2019","20,660","20,320","20,800","20,280","837,57K","8,05%"
"05.09.2019","19,120","19,220","19,430","18,800","397,73K","0,10%"
"04.09.2019","19,100","19,360","19,360","19,000","77,97K","-0,57%"
"03.09.2019","19,210","19,200","19,740","19,100","147,12K","0,31%"
"02.09.2019","19,150","19,050","19,560","19,050","143,89K","0,52%"
"29.08.2019","19,050","19,000","19,500","18,530","8,94K","0,26%"
"28.08.2019","19,000","19,290","19,290","18,740","36,76K","-0,84%"
"27.08.2019","19,160","19,210","19,210","19,020","7,57K","0,26%"
"26.08.2019","19,110","19,170","19,370","18,970","42,77K","-0,47%"
"23.08.2019","19,200","19,100","19,400","19,050","8,23K","0,52%"
"22.08.2019","19,100","19,390","19,390","19,020","41,90K","-0,73%"
"21.08.2019","19,240","19,220","19,410","19,200","20,90K","-0,88%"
"20.08.2019","19,410","19,220","19,900","19,200","67,59K","0,57%"
"19.08.2019","19,300","19,470","19,580","19,000","24,31K","-1,03%"
"16.08.2019","19,500","19,570","19,980","19,250","12,27K","-0,41%"
"15.08.2019","19,580","19,300","19,790","19,250","29,58K","0,46%"
"09.08.2019","19,490","19,500","20,180","19,260","17,51K","-0,61%"
"08.08.2019","19,610","19,600","19,890","19,290","8,97K","1,71%"
"07.08.2019","19,280","19,550","20,540","19,070","67,08K","-1,08%"
"06.08.2019","19,490","19,900","21,000","19,220","27,55K","-0,76%"
"05.08.2019","19,640","20,180","20,180","19,520","34,62K","-1,70%"
"02.08.2019","19,980","20,600","20,600","19,980","22,24K","-2,73%"
"01.08.2019","20,540","21,100","21,120","20,180","64,09K","-1,82%"
"31.07.2019","20,920","21,400","21,400","20,180","99,16K","-0,10%"
"30.07.2019","20,940","22,000","22,000","20,100","76,77K","-3,94%"
"29.07.2019","21,800","22,000","22,100","21,680","125,80K","0,18%"
"26.07.2019","21,760","21,180","21,980","20,900","200,17K","3,42%"
