"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"30.10.2020","6,60","6,68","6,73","6,59","177,68M","-2,65%"
"28.10.2020","6,78","6,88","6,93","6,77","78,19M","-1,74%"
"27.10.2020","6,90","6,77","6,93","6,74","173,03M","1,92%"
"26.10.2020","6,77","6,97","6,98","6,77","169,66M","-4,24%"
"23.10.2020","7,07","7,09","7,12","6,98","167,83M","-0,42%"
"22.10.2020","7,10","7,53","7,60","7,10","470,49M","-5,71%"
"21.10.2020","7,53","7,58","7,61","7,46","200,61M","0,80%"
"20.10.2020","7,47","7,50","7,56","7,43","269,60M","-0,40%"
"19.10.2020","7,50","7,24","7,52","7,23","377,90M","4,46%"
"16.10.2020","7,18","7,04","7,20","7,03","177,91M","2,43%"
"15.10.2020","7,01","7,10","7,10","6,96","124,86M","-1,54%"
"14.10.2020","7,12","7,09","7,16","7,05","146,01M","0,42%"
"13.10.2020","7,09","7,14","7,15","7,07","115,31M","-0,70%"
"12.10.2020","7,14","7,13","7,22","7,10","161,74M","0,56%"
"09.10.2020","7,10","6,98","7,10","6,96","150,11M","1,87%"
"08.10.2020","6,97","7,05","7,06","6,94","116,53M","-0,57%"
"07.10.2020","7,01","7,06","7,09","6,96","234,32M","-1,41%"
"06.10.2020","7,11","7,20","7,31","7,10","299,62M","-0,97%"
"05.10.2020","7,18","7,15","7,19","7,12","106,86M","0,98%"
"02.10.2020","7,11","7,07","7,19","7,05","240,02M","-0,14%"
"01.10.2020","7,12","7,16","7,22","7,08","267,82M","0,28%"
"30.09.2020","7,10","7,05","7,13","6,98","284,16M","2,90%"
"29.09.2020","6,90","7,00","7,06","6,86","254,08M","-1,29%"
"28.09.2020","6,99","7,18","7,21","6,98","259,84M","-2,51%"
"25.09.2020","7,17","7,20","7,34","7,15","476,53M","2,28%"
"24.09.2020","7,01","6,54","7,06","6,54","607,99M","6,53%"
"23.09.2020","6,58","6,50","6,65","6,48","98,32M","1,70%"
"22.09.2020","6,47","6,49","6,55","6,44","78,08M","-0,15%"
"21.09.2020","6,48","6,66","6,69","6,44","90,63M","-2,70%"
"18.09.2020","6,66","6,70","6,73","6,63","55,21M","-0,45%"
"17.09.2020","6,69","6,68","6,72","6,65","65,73M","-0,30%"
"16.09.2020","6,71","6,76","6,79","6,71","57,79M","-0,74%"
"15.09.2020","6,76","6,79","6,81","6,72","72,27M","-0,29%"
"14.09.2020","6,78","6,82","6,83","6,77","45,71M","-0,15%"
"11.09.2020","6,79","6,85","6,88","6,78","74,14M","-0,59%"
"10.09.2020","6,83","6,78","6,91","6,75","218,41M","1,04%"
"09.09.2020","6,76","6,76","6,79","6,73","81,61M","-0,15%"
"08.09.2020","6,77","6,84","6,85","6,75","78,01M","-0,73%"
"07.09.2020","6,82","6,82","6,85","6,76","92,60M","0,29%"
"04.09.2020","6,80","6,75","6,86","6,74","105,82M","0,59%"
"03.09.2020","6,76","6,86","6,91","6,76","116,52M","-1,31%"
"02.09.2020","6,85","6,88","6,92","6,79","105,42M","-0,58%"
"01.09.2020","6,89","6,80","6,89","6,70","120,87M","1,92%"
"31.08.2020","6,76","6,92","6,93","6,76","108,33M","-2,31%"
"28.08.2020","6,92","7,02","7,03","6,87","155,52M","-1,00%"
"27.08.2020","6,99","6,97","7,06","6,93","164,76M","1,30%"
"26.08.2020","6,90","6,77","6,92","6,73","151,30M","1,92%"
"25.08.2020","6,77","7,01","7,04","6,75","134,17M","-2,73%"
"24.08.2020","6,96","7,09","7,11","6,96","101,49M","-1,69%"
"21.08.2020","7,08","7,20","7,37","7,06","252,02M","-0,84%"
"20.08.2020","7,14","7,25","7,25","7,11","150,76M","-1,92%"
"19.08.2020","7,28","7,16","7,31","7,15","176,82M","2,10%"
"18.08.2020","7,13","6,94","7,18","6,93","196,43M","2,44%"
"17.08.2020","6,96","6,78","7,01","6,76","162,00M","2,65%"
"14.08.2020","6,78","6,86","6,91","6,74","100,33M","-2,16%"
