"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"30.10.2020","3,810","3,830","3,840","3,780","66,05M","-1,55%"
"28.10.2020","3,870","3,900","3,930","3,830","30,28M","-1,28%"
"27.10.2020","3,920","3,840","3,940","3,830","77,17M","1,82%"
"26.10.2020","3,850","4,000","4,010","3,830","94,27M","-5,17%"
"23.10.2020","4,060","4,110","4,120","4,020","66,40M","-1,22%"
"22.10.2020","4,110","4,350","4,360","4,110","181,12M","-5,30%"
"21.10.2020","4,340","4,320","4,380","4,280","118,09M","1,64%"
"20.10.2020","4,270","4,270","4,320","4,220","97,05M","0,00%"
"19.10.2020","4,270","4,150","4,290","4,140","138,91M","3,39%"
"16.10.2020","4,130","4,070","4,150","4,050","74,04M","1,98%"
"15.10.2020","4,050","4,080","4,090","4,010","44,29M","-0,98%"
"14.10.2020","4,090","4,090","4,100","4,060","45,17M","0,25%"
"13.10.2020","4,080","4,130","4,130","4,080","36,73M","-1,21%"
"12.10.2020","4,130","4,090","4,150","4,080","71,18M","1,47%"
"09.10.2020","4,070","4,040","4,100","4,030","63,51M","0,74%"
"08.10.2020","4,040","4,080","4,090","4,010","39,61M","-0,74%"
"07.10.2020","4,070","4,070","4,090","4,050","41,84M","-0,73%"
"06.10.2020","4,100","4,140","4,170","4,090","49,39M","-0,73%"
"05.10.2020","4,130","4,120","4,150","4,110","40,78M","0,73%"
"02.10.2020","4,100","4,090","4,150","4,080","60,27M","-0,24%"
"01.10.2020","4,110","4,170","4,190","4,100","89,33M","-0,72%"
"30.09.2020","4,140","4,090","4,140","4,070","70,40M","2,48%"
"29.09.2020","4,040","4,100","4,130","4,030","73,08M","-1,22%"
"28.09.2020","4,090","4,190","4,210","4,080","77,54M","-2,15%"
"25.09.2020","4,180","4,210","4,270","4,160","135,46M","0,97%"
"24.09.2020","4,140","3,950","4,160","3,950","193,65M","4,02%"
"23.09.2020","3,980","3,890","4,020","3,870","73,50M","2,84%"
"22.09.2020","3,870","3,860","3,910","3,840","53,79M","0,26%"
"21.09.2020","3,860","3,960","3,990","3,840","72,80M","-3,02%"
"18.09.2020","3,980","4,060","4,070","3,980","71,90M","-1,73%"
"17.09.2020","4,050","4,010","4,050","4,010","48,23M","0,25%"
"16.09.2020","4,040","4,060","4,090","4,010","57,51M","-0,49%"
"15.09.2020","4,060","4,100","4,120","4,020","47,63M","-0,73%"
"14.09.2020","4,090","4,120","4,130","4,080","43,62M","-0,49%"
"11.09.2020","4,110","4,120","4,160","4,100","52,62M","0,00%"
"10.09.2020","4,110","4,090","4,200","4,060","173,13M","0,98%"
"09.09.2020","4,070","4,070","4,090","4,050","31,89M","-0,25%"
"08.09.2020","4,080","4,130","4,130","4,070","48,46M","-0,73%"
"07.09.2020","4,110","4,120","4,130","4,090","31,45M","0,00%"
"04.09.2020","4,110","4,080","4,150","4,070","52,45M","0,49%"
"03.09.2020","4,090","4,180","4,200","4,090","78,32M","-2,39%"
"02.09.2020","4,190","4,140","4,240","4,100","112,06M","0,96%"
"01.09.2020","4,150","4,070","4,160","4,050","51,19M","1,97%"
"31.08.2020","4,070","4,150","4,160","4,070","38,67M","-2,40%"
"28.08.2020","4,170","4,200","4,210","4,100","50,50M","-0,48%"
"27.08.2020","4,190","4,190","4,220","4,150","45,59M","1,21%"
